Exchange rate
About these rates
These rates are mid rates and are included here to be able to calculate an indicative total value for multi-currency accounts. The rates are explicitly not buy or sell rates.
Exchange Rates
Base Currency,Target Currency,Symbol,Currency Description,Exponent,Exchange Rate,Exchange Rate (Platform Settlement),Valid From
AED,PEN,S/.,Peruvian Nuevo Sol,2,0.8976302537053391,0.953153774553092,2026-07-08T02:00:00Z
AED,PGK,,New Guinea Kina,2,1.1608676818062487,1.232673930165398,2026-07-08T02:00:00Z
AED,PHP,₱,Philippine Peso,2,16.26895510632712,17.275282226306118,2026-07-08T02:00:00Z
AED,PKR,₨,Pakistan Rupee,2,73.47741318408555,78.02240781402898,2026-07-08T02:00:00Z
AED,PLN,,New Polish Zloty,2,0.9959521706961979,1.0390758729325282,2026-07-08T02:00:00Z
AED,PYG,,Paraguay Guarani,0,1605.3306574142582,1704.6294609656559,2026-07-08T02:00:00Z
AED,QAR,﷼,Qatari Rial,2,0.9616540967564859,1.021137855318743,2026-07-08T02:00:00Z
AED,ROL,,Romanian Lei,2,12116.492040382826,12865.965774839497,2026-07-08T02:00:00Z
AED,RON,,New Romanian Lei,2,1.2116492040382825,1.2865965774839496,2026-07-08T02:00:00Z
AED,RSD,РСД,Serbian Dinar,2,27.16973495787489,28.85033712021767,2026-07-08T02:00:00Z
AED,RUB,руб,Russian Ruble,2,20.20500346070312,21.45479748920022,2026-07-08T02:00:00Z
AED,RWF,,Rwanda Franc,0,387.15368373946876,411.1013342800545,2026-07-08T02:00:00Z
AED,SAR,﷼,Saudi Riyal,2,0.9915766486073654,1.052911286665553,2026-07-08T02:00:00Z
AED,SBD,,Solomon Island Dollar,2,2.140903601517936,2.273330628415953,2026-07-08T02:00:00Z
AED,SCR,,Seychelles Rupee,2,3.8912397670588805,4.131935010382111,2026-07-08T02:00:00Z
AED,SEK,kr,Swedish Krone,2,2.5594489128618823,2.6702704121816754,2026-07-08T02:00:00Z
AED,SGD,$,Singapore Dollar,2,0.3415916847657462,0.356382252559727,2026-07-08T02:00:00Z
AED,SHP,,St. Helena Pound,2,0.1980259943413924,0.21027502491921052,2026-07-08T02:00:00Z
AED,SKK,,Slovak Koruna,2,6.974443304136137,7.405852168309507,2026-07-08T02:00:00Z
AED,SLE,Le,Sierra Leone Leone,2,6.4220278526933825,6.819266688942458,2026-07-08T02:00:00Z
AED,SLL,,Sierra Leone Leone,2,6020.686689061791,6393.10029869448,2026-07-08T02:00:00Z
AED,SOS,,Somalia Shilling,2,150.94308002577628,160.27976538819541,2026-07-08T02:00:00Z
AED,SRD,Sr$,Surinamese dollar,2,9.952067113773598,10.567658894007018,2026-07-08T02:00:00Z
AED,STD,,Sao Tome & Principe Dobra,2,5732.116048378242,6086.679927659372,2026-07-08T02:00:00Z
AED,STN,,Sao Tome & Principe Dobra,2,5.732116048378243,6.086679927659372,2026-07-08T02:00:00Z
AED,SVC,₡,El Salvador Colón,2,2.3110280674956445,2.4539782572376434,2026-07-08T02:00:00Z
AED,SZL,,Swaziland Lilangeni,2,4.300154299625289,4.566143225375308,2026-07-08T02:00:00Z
AED,THB,฿,Thai Baht,2,8.813586362443017,9.358756652903411,2026-07-08T02:00:00Z
AED,TND,,Tunisian Dinar,3,0.7805676746461729,0.8288502112222249,2026-07-08T02:00:00Z
AED,TOP,,Tonga Pa’anga,2,0.6344044010596912,0.6736459104035897,2026-07-08T02:00:00Z
AED,TRY,₤,New Turkish Lira,2,12.374879352729181,13.140335807537173,2026-07-08T02:00:00Z
AED,TTD,,Trinidad & Tobago Dollar,2,1.7816824983889832,1.8918896632377862,2026-07-08T02:00:00Z
AED,TWD,元,New Taiwan Dollar,2,8.494670994534475,9.020114561206713,2026-07-08T02:00:00Z
AED,TZS,,Tanzanian Shilling,2,697.2698304255472,740.3999230291894,2026-07-08T02:00:00Z
AED,UAH,,Ukraine Hryvnia,2,11.722208883266903,12.447293968829806,2026-07-08T02:00:00Z
AED,UGX,,Uganda Shilling,0,964.5560518150791,1024.2193127520943,2026-07-08T02:00:00Z
AED,USD,$,US Dollars,2,0.2641171627007804,0.2755531635599895,2026-07-08T02:00:00Z
AED,UYU,₱,Peso Uruguayo,2,10.61671817943149,11.273422396715912,2026-07-08T02:00:00Z
AED,UZS,som,Uzbekistani Som,2,3175.036925224946,3371.4309618367984,2026-07-08T02:00:00Z
AED,VND,₫,Vietnamese New Dong,0,6945.225084011551,7374.826635599896,2026-07-08T02:00:00Z
AED,VUV,,Vanuatu Vatu,0,31.489509654168355,33.43731437504475,2026-07-08T02:00:00Z
AED,WST,,Samoan Tala,2,0.7302028688035515,0.7753700565645959,2026-07-08T02:00:00Z
AED,XAF,,CFA Franc BEAC,0,151.86001813885773,161.2534213227046,2026-07-08T02:00:00Z
AED,XCD,EC$,East Carribean Dollar,2,0.7131174968376334,0.7572278574667654,2026-07-08T02:00:00Z
AED,XCG,Cg,Caribbean Guilder,2,0.472776319243896,0.502020215279601,2026-07-08T02:00:00Z
AED,XOF,,CFA Franc BCEAO,0,151.86001813885773,161.2534213227046,2026-07-08T02:00:00Z
AED,XPF,,CFP Franc,0,27.62637509248431,29.33522303634932,2026-07-08T02:00:00Z
AED,YER,,Yemeni Rial,2,62.98272345402039,66.8785620181866,2026-07-08T02:00:00Z
AED,ZAR,R,South African Rand,2,4.300154299625289,4.486346547650302,2026-07-08T02:00:00Z
AED,ZMK,,Zambia Kwacha,2,4866.367693739708,5167.380128404019,2026-07-08T02:00:00Z
AED,ZMW,,Zambian Kwacha,2,4.866367693739708,5.1673801284040195,2026-07-08T02:00:00Z
ALL,AED,,UAE Dirham,2,0.04328591185302696,0.045963390936719355,2026-07-08T02:00:00Z
ALL,ALL,L,Albanian Lek,2,1.0,1.0,2026-07-08T02:00:00Z
ALL,AMD,,Armenian Dram,2,4.302866962644868,4.569023681983725,2026-07-08T02:00:00Z
ALL,AOA,,Angolan kwanza,2,10.807894747212357,11.476424319204876,2026-07-08T02:00:00Z
ALL,ARS,$,Nuevo Argentine Peso,2,17.584934491258842,18.67266239793465,2026-07-08T02:00:00Z
ALL,AUD,A$,Australian Dollar,2,0.016996582777775115,0.01773251728980249,2026-07-08T02:00:00Z
ALL,AWG,,Aruban Guilder,2,0.02109747843401012,0.022402477100031366,2026-07-08T02:00:00Z
ALL,AZN,man,Azerbaijani manat,2,0.0200421654442522,0.02128188701812347,2026-07-08T02:00:00Z
ALL,BAM,,Bosnia and Herzegovina Convertible Marks,2,0.020205395451478585,0.02145521372682778,2026-07-08T02:00:00Z
ALL,BBD,,Barbados Dollar,2,0.023572272625850644,0.025030351344975426,2026-07-08T02:00:00Z
ALL,BDT,,Bangladesh Taka,2,1.4520523036827933,1.541869971951832,2026-07-08T02:00:00Z
ALL,BGN,,New Bulgarian Lev,2,0.020205395451478585,0.02145521372682778,2026-07-08T02:00:00Z
ALL,BHD,,Bahraini Dinar,3,0.0044413025383938255,0.004716022283036744,2026-07-08T02:00:00Z
ALL,BMD,,Bermudian Dollar,2,0.011786136312925322,0.012515175672487713,2026-07-08T02:00:00Z
ALL,BND,,Brunei Dollar,2,0.01524340985205883,0.016186301183114014,2026-07-08T02:00:00Z
ALL,BOB,,Bolivia Boliviano,2,0.11615715920570484,0.12334213812564536,2026-07-08T02:00:00Z
ALL,BRL,R$,Brazilian Real,2,0.060799045286581775,0.06455981097441157,2026-07-08T02:00:00Z
ALL,BSD,,Bahamian Dollar,2,0.011786136312925322,0.012515175672487713,2026-07-08T02:00:00Z
ALL,BTN,Nu.,Bhutan Ngultrum,2,1.119299669141317,1.1885347002222233,2026-07-08T02:00:00Z
ALL,BWP,,Botswana Pula,2,0.1661330219118658,0.17640929130847605,2026-07-08T02:00:00Z
ALL,BYN,Br,Belarusian Ruble,2,0.03400298001801004,0.03610625713252613,2026-07-08T02:00:00Z
ALL,BYR,Br,Belarusian Ruble,0,340.02980018010044,361.0625713252613,2026-07-08T02:00:00Z
ALL,BZD,,Belize Dollar,2,0.023572272625850644,0.025030351344975426,2026-07-08T02:00:00Z
ALL,CAD,$,Canadian Dollar,2,0.016738824000541046,0.017463597823244886,2026-07-08T02:00:00Z
ALL,CHF,,Swiss Franc,2,0.009532942352414288,0.009945708928498206,2026-07-08T02:00:00Z
ALL,CLP,$,Chilean Peso,2,10.957335434682703,11.635108760539365,2026-07-08T02:00:00Z
ALL,CNY,¥,Yuan Renminbi,2,0.08009427848257653,0.08504856374954003,2026-07-08T02:00:00Z
ALL,COP,₱,Colombian Peso,2,39.18301662920343,41.606708379463434,2026-07-08T02:00:00Z
ALL,CRC,,Costa Rican Colon,2,5.327337229296836,5.656863243480146,2026-07-08T02:00:00Z
ALL,CUP,,Cuban Peso,2,0.2828672715102078,0.30036421613970515,2026-07-08T02:00:00Z
ALL,CVE,,Cape Verdi Escudo,0,1.1447881174178218,1.2155997535467593,2026-07-08T02:00:00Z
ALL,CZK,,Czech Koruna,2,0.2503772683629764,0.26586452207615024,2026-07-08T02:00:00Z
ALL,DJF,,Djibouti Franc,0,2.0988169600088615,2.2286406894939454,2026-07-08T02:00:00Z
ALL,DKK,kr,Danish Krone,2,0.077227938893655,0.08057182903131842,2026-07-08T02:00:00Z
ALL,DOP,,Dominican Republic Peso,2,0.6945576276159696,0.7375199550973698,2026-07-08T02:00:00Z
ALL,DZD,,Algerian Dinar,2,1.5680024293856616,1.664992270378589,2026-07-08T02:00:00Z
ALL,EEK,,Estonian Krone,2,0.1616452298144518,0.17164390382359315,2026-07-08T02:00:00Z
ALL,EGP,£,Egyptian Pound,2,0.5752814322405357,0.6108658507296412,2026-07-08T02:00:00Z
ALL,ETB,,Ethiopian Birr,2,1.873524579557055,1.989412697880172,2026-07-08T02:00:00Z
ALL,EUR,€,Euro,2,0.010331013115593918,0.010778335332970151,2026-07-08T02:00:00Z
ALL,FJD,$,Fiji Dollar,2,0.026655046939543868,0.028303812729618745,2026-07-08T02:00:00Z
ALL,FKP,,Falkland Islands Pound,2,0.008812394208913322,0.00935749075791827,2026-07-08T02:00:00Z
ALL,GBP,£,Pound Sterling,2,0.008826301055307665,0.009208470791723048,2026-07-08T02:00:00Z
ALL,GEL,,Georgian Lari,2,0.031020933082193863,0.032939753685216164,2026-07-08T02:00:00Z
ALL,GHC,,Ghanaian Cedi (2nd),0,1340.6710685302962,1423.5991758620673,2026-07-08T02:00:00Z
ALL,GHS,GH₵,Ghanaian Cedi (3rd),2,0.1340671068530296,0.14235991758620672,2026-07-08T02:00:00Z
ALL,GIP,,Gibraltar Pound,2,0.008812394208913322,0.00935749075791827,2026-07-08T02:00:00Z
ALL,GMD,,Gambia Delasi,2,0.8662833434779622,0.9198678801879392,2026-07-08T02:00:00Z
ALL,GNF,,Guinea Franc,0,103.37136978583383,109.76547513341119,2026-07-08T02:00:00Z
ALL,GTQ,,Guatemala Quetzal,2,0.08981834457762933,0.09537411846902907,2026-07-08T02:00:00Z
ALL,GYD,,Guyanese Dollar,2,2.4654259929887568,2.617926569874659,2026-07-08T02:00:00Z
